,LGA,Period,avg_response_time_min,total_num_first_responses
106,Greater Bendigo,30/09/2019,24:04,"1,199"
107,Greater Dandenong,30/09/2019,21:48,"1,492"
108,Greater Geelong,30/09/2019,23:08,"2,483"
109,Greater Shepparton,30/09/2019,22:30,856
110,Hepburn,30/09/2019,29:22,167
111,Hindmarsh,30/09/2019,33:49,71
112,Hobsons Bay,30/09/2019,25:14,709
113,Horsham,30/09/2019,31:57,310
114,Hume,30/09/2019,22:16,"2,098"
115,Indigo,30/09/2019,32:09,111
116,Kingston,30/09/2019,23:06,"1,313"
117,Knox,30/09/2019,20:32,"1,250"
118,Latrobe,30/09/2019,23:27,"1,107"
119,Loddon,30/09/2019,31:47,78
120,Macedon Ranges,30/09/2019,24:18,513
121,Manningham,30/09/2019,24:49,780
122,Mansfield,30/09/2019,38:38,104
123,Maribyrnong,30/09/2019,25:13,682
124,Maroondah,30/09/2019,20:32,"1,052"
125,Melbourne,30/09/2019,24:47,"2,381"
126,Melton,30/09/2019,23:50,"1,283"
127,Mildura,30/09/2019,32:08,651
128,Mitchell,30/09/2019,24:25,562
129,Moira,30/09/2019,28:46,467
130,Monash,30/09/2019,24:12,"1,389"
131,Moonee Valley,30/09/2019,58:36,"1,454"
132,Moorabool,30/09/2019,24:24,367
133,Moreland,30/09/2019,25:52,"1,401"
134,Mornington Peninsula,30/09/2019,20:34,"1,753"
135,Mount Alexander,30/09/2019,25:22,169
136,Moyne,30/09/2019,29:30,94
137,Murrindindi,30/09/2019,30:02,137
138,Nillumbik,30/09/2019,26:23,387
139,Northern Grampians,30/09/2019,23:16,151
140,Port Phillip,30/09/2019,26:35,865
141,Pyrenees,30/09/2019,25:55,57
142,Queenscliffe,30/09/2019,23:30,33
143,South Gippsland,30/09/2019,30:33,301
144,Southern Grampians,30/09/2019,30:31,167
145,Stonnington,30/09/2019,27:58,754
146,Strathbogie,30/09/2019,29:42,128
147,Surf Coast,30/09/2019,23:27,242
148,Swan Hill,30/09/2019,29:10,273
149,Towong,30/09/2019,30:16,83
150,Wangaratta,30/09/2019,31:03,362
151,Warrnambool,30/09/2019,21:49,338
152,Wellington,30/09/2019,27:20,463
153,West Wimmera,30/09/2019,36:37,33
154,Whitehorse,30/09/2019,23:51,"1,246"
155,Whittlesea,30/09/2019,22:43,"1,568"
156,Wodonga,30/09/2019,24:10,455
157,Wyndham,30/09/2019,23:23,"1,548"
158,Yarra,30/09/2019,25:44,979
159,Yarra Ranges,30/09/2019,20:40,"1,232"
160,Yarriambiack,30/09/2019,37:26,79
161,Unincorporated,30/09/2019,32:54,169
162,Interstate LGAs,30/09/2019,33:40,136
163,Total AV,30/09/2019,25:13,"57,200"
164,Alpine,31/12/2019,31:32,170
165,Ararat,31/12/2019,24:43,180
166,Ballarat,31/12/2019,23:53,"1,183"
167,Banyule,31/12/2019,24:40,"1,114"
168,Bass Coast,31/12/2019,27:09,581
169,Baw Baw,31/12/2019,27:15,599
170,Bayside,31/12/2019,28:49,706
171,Benalla,31/12/2019,28:27,220
172,Boroondara,31/12/2019,26:48,892
173,Brimbank,31/12/2019,25:32,"1,644"
174,Buloke,31/12/2019,36:50,78
175,Campaspe,31/12/2019,28:46,520
176,Cardinia,31/12/2019,22:47,889
177,Casey,31/12/2019,23:57,"2,522"
178,Central Goldfields,31/12/2019,25:37,215
179,Colac-Otway,31/12/2019,25:05,259
180,Corangamite,31/12/2019,29:46,194
181,Darebin,31/12/2019,24:40,"1,361"
182,East Gippsland,31/12/2019,29:14,675
183,Frankston,31/12/2019,20:09,"1,557"
184,Gannawarra,31/12/2019,36:02,115
185,Glen Eira,31/12/2019,29:03,973
186,Glenelg,31/12/2019,28:29,242
187,Golden Plains,31/12/2019,31:00,132
188,Greater Bendigo,31/12/2019,25:21,"1,165"
189,Greater Dandenong,31/12/2019,22:23,"1,546"
190,Greater Geelong,31/12/2019,24:44,"2,569"
191,Greater Shepparton,31/12/2019,24:14,848
192,Hepburn,31/12/2019,29:28,183
193,Hindmarsh,31/12/2019,29:17,63
194,Hobsons Bay,31/12/2019,25:57,787
195,Horsham,31/12/2019,32:23,271
196,Hume,31/12/2019,21:55,"2,112"
197,Indigo,31/12/2019,28:20,100
198,Kingston,31/12/2019,24:41,"1,213"
199,Knox,31/12/2019,20:15,"1,233"
200,Latrobe,31/12/2019,22:43,"1,127"
201,Loddon,31/12/2019,30:28,62
202,Macedon Ranges,31/12/2019,24:38,490
203,Manningham,31/12/2019,26:42,777
204,Mansfield,31/12/2019,32:44,120
205,Maribyrnong,31/12/2019,26:55,731
206,Maroondah,31/12/2019,21:09,"1,075"
207,Melbourne,31/12/2019,25:10,"2,397"
208,Melton,31/12/2019,23:59,"1,206"
209,Mildura,31/12/2019,29:33,687
210,Mitchell,31/12/2019,24:33,596
211,Moira,31/12/2019,27:56,423
212,Monash,31/12/2019,26:16,"1,310"
213,Moonee Valley,31/12/2019,60:58,"1,464"
214,Moorabool,31/12/2019,25:57,417
215,Moreland,31/12/2019,26:26,"1,489"
216,Mornington Peninsula,31/12/2019,21:30,"1,894"
217,Mount Alexander,31/12/2019,28:04,205
218,Moyne,31/12/2019,33:13,112
219,Murrindindi,31/12/2019,35:17,169
220,Nillumbik,31/12/2019,28:27,417
221,Northern Grampians,31/12/2019,27:53,194
222,Port Phillip,31/12/2019,27:41,"1,037"
223,Pyrenees,31/12/2019,27:47,76
224,Queenscliffe,31/12/2019,23:36,45
225,South Gippsland,31/12/2019,32:05,353
226,Southern Grampians,31/12/2019,32:49,162
227,Stonnington,31/12/2019,26:38,753
228,Strathbogie,31/12/2019,28:51,135
229,Surf Coast,31/12/2019,23:19,259
230,Swan Hill,31/12/2019,30:10,307
231,Towong,31/12/2019,30:58,90
232,Wangaratta,31/12/2019,30:14,373
233,Warrnambool,31/12/2019,24:07,392
234,Wellington,31/12/2019,26:27,514
235,West Wimmera,31/12/2019,28:14,41
236,Whitehorse,31/12/2019,24:10,1331
237,Whittlesea,31/12/2019,23:10,"1,567"
238,Wodonga,31/12/2019,20:30,429
239,Wyndham,31/12/2019,25:17,"1,519"
240,Yarra,31/12/2019,25:29,975
241,Yarra Ranges,31/12/2019,21:02,"1,235"
242,Yarriambiack,31/12/2019,39:25,71
243,Unincorporated,31/12/2019,42:49,7
244,Interstate LGAs,31/12/2019,29:37,160
245,Total AV,31/12/2019,25:57,"58,304"
246,Alpine,31/03/2020,31:54,158
247,Ararat,31/03/2020,25:51,150
248,Ballarat,31/03/2020,23:09,"1,120"
249,Banyule,31/03/2020,25:02,"1,012"
250,Bass Coast,31/03/2020,31:28,550
251,Baw Baw,31/03/2020,27:31,542
252,Bayside,31/03/2020,28:30,659
253,Benalla,31/03/2020,30:57,234
254,Boroondara,31/03/2020,26:20,891
255,Brimbank,31/03/2020,24:55,"1,652"
256,Buloke,31/03/2020,34:13,84
257,Campaspe,31/03/2020,30:42,464
258,Cardinia,31/03/2020,23:08,819
259,Casey,31/03/2020,24:13,"2,395"
260,Central Goldfields,31/03/2020,32:12,219
261,Colac-Otway,31/03/2020,30:50,248
262,Corangamite,31/03/2020,27:11,162
263,Darebin,31/03/2020,25:09,"1,268"
264,East Gippsland,31/03/2020,33:04,684
265,Frankston,31/03/2020,21:46,"1,621"
266,Gannawarra,31/03/2020,37:22,106
267,Glen Eira,31/03/2020,28:52,882
268,Glenelg,31/03/2020,22:55,222
269,Golden Plains,31/03/2020,29:43,110
270,Greater Bendigo,31/03/2020,25:25,"1,149"
271,Greater Dandenong,31/03/2020,22:03,"1,554"
272,Greater Geelong,31/03/2020,26:20,"2,682"
273,Greater Shepparton,31/03/2020,22:52,795
274,Hepburn,31/03/2020,32:24,175
275,Hindmarsh,31/03/2020,28:13,77
276,Hobsons Bay,31/03/2020,27:00,762
277,Horsham,31/03/2020,30:17,293
278,Hume,31/03/2020,23:28,"2,089"
279,Indigo,31/03/2020,32:32,100
280,Kingston,31/03/2020,24:53,"1,207"
281,Knox,31/03/2020,20:13,"1,206"
282,Latrobe,31/03/2020,24:02,"1,083"
283,Loddon,31/03/2020,31:09,82
284,Macedon Ranges,31/03/2020,23:39,440
285,Manningham,31/03/2020,26:28,752
286,Mansfield,31/03/2020,34:33,118
287,Maribyrnong,31/03/2020,25:21,757
288,Maroondah,31/03/2020,20:32,"1,029"
289,Melbourne,31/03/2020,25:40,"2,255"
290,Melton,31/03/2020,25:18,"1,266"
291,Mildura,31/03/2020,28:55,598
292,Mitchell,31/03/2020,23:57,557
293,Moira,31/03/2020,30:02,409
294,Monash,31/03/2020,25:24,"1,254"
295,Moonee Valley,31/03/2020,59:03,"1,352"
296,Moorabool,31/03/2020,24:56,364
297,Moreland,31/03/2020,26:46,"1,478"
298,Mornington Peninsula,31/03/2020,22:36,"1,740"
299,Mount Alexander,31/03/2020,32:22,212
300,Moyne,31/03/2020,26:34,133
301,Murrindindi,31/03/2020,31:00,175
302,Nillumbik,31/03/2020,26:32,388
303,Northern Grampians,31/03/2020,26:19,199
304,Port Phillip,31/03/2020,26:24,"1,026"
305,Pyrenees,31/03/2020,31:07,69
306,Queenscliffe,31/03/2020,23:40,41
307,South Gippsland,31/03/2020,30:34,361
308,Southern Grampians,31/03/2020,28:20,144
309,Stonnington,31/03/2020,27:18,730
310,Strathbogie,31/03/2020,27:17,139
311,Surf Coast,31/03/2020,24:33,297
312,Swan Hill,31/03/2020,31:38,267
313,Towong,31/03/2020,33:03,92
314,Wangaratta,31/03/2020,30:08,330
315,Warrnambool,31/03/2020,21:45,340
316,Wellington,31/03/2020,27:42,477
317,West Wimmera,31/03/2020,36:39,29
318,Whitehorse,31/03/2020,23:47,"1,183"
319,Whittlesea,31/03/2020,23:53,"1,568"
320,Wodonga,31/03/2020,24:24,431
321,Wyndham,31/03/2020,25:12,"1,510"
322,Yarra,31/03/2020,25:49,928
323,Yarra Ranges,31/03/2020,21:58,"1,304"
324,Yarriambiack,31/03/2020,36:07,79
325,Unincorporated,31/03/2020,74:30,7
326,Interstate LGAs,31/03/2020,30:46,147
327,Total AV,31/03/2020,26:14,"56,481"
