,LGA,avg_response_time,total_num_first_responses,avg_response_time,total_num_first_responses,avg_response_time,total_num_first_responses,avg_response_time,total_num_first_responses,total_num_first_responses
38,Macedon Ranges,30:18,512,26:18,527,31:34,420,36:28,384,415
39,Manningham,43:12,747,37:37,772,43:10,600,47:08,520,542
40,Mansfield,39:37,96,40:18,108,44:27,110,42:35,128,129
41,Maribyrnong,36:40,653,34:48,703,48:23,570,43:53,544,499
42,Maroondah,31:41,950,31:43,"1,135",37:49,880,40:35,806,812
43,Melbourne,37:25,"1,754",35:30,"1,645",41:05,"1,487",42:19,"1,444","1,472"
44,Melton,40:13,"1,219",35:00,"1,358",45:43,"1,132",44:13,"1,078","1,058"
45,Mildura,34:53,650,29:45,764,37:31,633,43:38,584,562
46,Mitchell,32:56,566,31:10,617,37:36,510,37:54,470,524
47,Moira,40:51,432,34:04,463,46:01,411,47:10,417,414
48,Monash,39:32,"1,306",34:35,"1,421",45:54,"1,060",48:46,"1,041",995
49,Moonee Valley,76:38,"1,385",69:07,"1,419",81:25,"1,087",82:04,"1,016","1,081"
50,Moorabool,38:55,352,34:13,365,46:09,289,45:18,322,327
51,Moreland,40:11,"1,361",38:53,"1,529",48:19,"1,110",47:53,"1,079","1,030"
52,Mornington Peninsula,31:34,"1,707",26:16,"1,913",55:21,"1,473",37:51,"1,354","1,319"
53,Mount Alexander,38:11,229,31:52,232,40:27,213,43:45,197,179
54,Moyne,34:53,142,32:37,141,36:36,132,46:17,17,127
55,Murrindindi,38:45,185,36:23,167,44:25,193,42:39,208,185
56,Nillumbik,43:34,389,38:43,366,45:46,298,43:08,299,268
57,Northern Grampians,34:04,213,30:38,200,34:13,190,38:42,177,191
58,Port Phillip,40:05,836,34:52,816,45:47,701,46:33,672,655
59,Pyrenees,31:08,72,35:06,91,43:38,85,43:42,57,79
60,Queenscliffe,26:18,36,33:48,37,33:42,36,34:17,36,29
61,South Gippsland,36:34,307,34:59,314,40:33,281,38:14,277,250
62,Southern Grampians,31:58,168,29:35,192,31:22,180,39:03,148,163
63,Stonnington,42:31,702,36:17,706,49:13,577,47:26,516,546
64,Strathbogie,38:54,145,35:24,161,44:35,132,51:07,149,126
65,Surf Coast,26:46,245,29:19,248,33:09,226,37:10,207,183
66,Swan Hill,32:42,283,30:19,267,36:30,240,43:25,237,227
67,Towong,32:58,74,36:03,85,36:33,76,33:13,84,75
68,Wangaratta,34:14,360,34:45,414,36:22,374,45:10,288,300
69,Warrnambool,28:23,383,26:38,444,32:15,318,41:47,347,320
70,Wellington,31:26,532,28:27,581,35:55,438,39:00,392,438
71,West Wimmera,38:24,41,31:20,42,49:17,35,40:56,33,31
72,Whitehorse,38:26,"1,184",35:59,"1,230",43:54,981,45:41,886,845
73,Whittlesea,36:48,"1,504",35:46,"1,742",44:23,"1,393",42:19,"1,235","1,271"
74,Wodonga,32:30,415,29:44,458,35:32,396,39:18,328,394
75,Wyndham,34:20,"1,549",32:5/,"1,688",41:58,"1,393",40:29,"1,263","1,358"
76,Yarra,36:46,735,32:24,722,42:20,643,48:27,642,580
77,Yarra Ranges,32:11,"1,235",29:24,"1,180",37:37,"1,061",37:41,969,878
78,Yarriambiack,36:44,85,35:26,73,38:58,86,54:16,56,70
79,Unincorporated,35:21,13,34:11,87,91:29,4,55:14,18,43
80,Interstate LGAs,37:22,156,29:50,146,45:26,133,45:29,140,124
81,Total AV,36:57,"55,016",33:43,"59,240",42:07,"47,950",43:42,"44,263","44,744"
